연,월,평균 기온(°C),최저 기온(°C),최고 기온(°C),10분 최다강수량(mm),1시간 최다강수(mm),강수 계속시간(hr),일강수량(mm),평균 상대습도(%),평균 증기압(hPa),일 최심적설(cm),평균 전운량(10분위),10cm 지중온도(°C),평균 풍속(m/s)
2015,11,8.9,-7.3,21.0,2.1259360730593606,4.985844748858447,253.85411053540588,233.58790322580646,73.28333333333333,8.629999999999999,3.1537313432835816,6.553333333333333,10.023333333333333,2.67
2015,12,1.5935483870967742,-9.5,12.2,2.1259360730593606,4.985844748858447,178.85881404720783,201.08387096774194,59.86451612903225,4.251612903225807,6.5,4.125806451612903,2.9096774193548387,2.3451612903225807
2016,1,-3.2,-18.0,9.5,2.1259360730593606,4.985844748858447,170.1335175590098,215.97983870967744,53.045161290322575,2.829032258064516,3.1537313432835816,3.990322580645161,-0.635483870967742,2.47741935483871
2016,2,0.1931034482758621,-10.0,14.4,2.1259360730593606,4.985844748858447,170.21199194012667,193.78629032258064,52.05172413793103,3.5137931034482754,5.0,3.6620689655172414,0.6379310344827587,2.7551724137931037
2016,3,7.04516129032258,-7.5,21.4,2.1259360730593606,4.985844748858447,164.1335175590098,255.47983870967744,51.016129032258064,5.17741935483871,3.1537313432835816,3.5580645161290323,7.458064516129032,2.4419354838709677
2016,4,14.066666666666666,5.1,29.6,2.1259360730593606,7.5,174.66987334484745,240.18467741935484,54.75666666666667,8.313333333333334,3.1537313432835816,4.803333333333333,14.846666666666666,2.42
2016,5,19.55806451612903,8.9,31.9,3.5,12.0,199.55881404720782,332.48387096774195,56.21935483870968,11.970967741935485,3.1537313432835816,4.587096774193548,20.425806451612903,2.3677419354838714
2016,6,23.596666666666668,17.1,32.2,16.5,26.0,148.90093264248705,209.18548387096774,62.86666666666667,17.916666666666668,3.1537313432835816,5.25,24.946666666666665,2.13
2016,7,26.23548387096774,19.8,34.1,20.5,51.5,179.5594070236039,444.19193548387096,72.86129032258064,24.425806451612903,3.1537313432835816,7.193548387096774,26.374193548387098,2.148387096774193
2016,8,27.996774193548386,16.1,36.6,4.5,11.5,134.52411053540587,196.08790322580646,63.88387096774194,24.02258064516129,3.1537313432835816,4.619354838709677,28.725806451612904,2.0580645161290323
2016,9,23.083333333333332,14.3,31.1,3.0,4.985844748858447,167.345636154289,230.78145161290323,64.51333333333334,18.006666666666668,3.1537313432835816,5.760000000000001,23.793333333333333,1.9633333333333334
2016,10,16.080645161290324,0.7,29.0,2.5,10.0,191.41775474956822,255.38306451612905,62.23225806451613,11.687096774193549,3.1537313432835816,5.280645161290322,17.612903225806452,2.1193548387096777
2016,11,6.7733333333333325,-6.2,18.6,2.1259360730593606,4.985844748858447,127.20516983304547,137.08870967741936,56.779999999999994,6.183333333333334,3.1537313432835816,4.743333333333334,8.963333333333333,2.2233333333333336
2016,12,1.2451612903225806,-9.8,13.6,2.1259360730593606,4.985844748858447,170.56199194012666,207.28629032258064,59.15806451612904,4.212903225806452,3.1537313432835816,4.699999999999999,3.267741935483871,2.225806451612903
2017,1,-1.8290322580645162,-12.6,11.4,2.1259360730593606,4.985844748858447,147.69093264248704,169.68548387096774,54.60645161290322,3.170967741935484,6.6,3.4967741935483874,0.8193548387096774,2.3
2017,2,-0.24642857142857139,-9.3,12.3,2.1259360730593606,4.985844748858447,167.3166954519286,200.28225806451613,53.66428571428571,3.317857142857143,3.1537313432835816,2.8214285714285716,0.4928571428571429,2.4464285714285716
2017,3,6.325806451612903,-5.3,18.9,2.1259360730593606,4.985844748858447,162.055636154289,205.68145161290323,48.10322580645161,4.490322580645161,3.1537313432835816,3.896774193548387,6.9,2.3677419354838714
2017,4,13.933333333333334,3.1,27.8,2.5,8.5,162.44881404720783,233.58387096774194,52.373333333333335,7.986666666666666,3.1537313432835816,4.38,14.113333333333333,2.55
2017,5,19.490322580645163,10.0,30.3,3.5,6.0,161.72457685664938,222.48064516129034,52.28709677419355,11.44516129032258,3.1537313432835816,3.8774193548387097,20.661290322580644,2.429032258064516
2017,6,23.273333333333333,14.5,34.1,4.5,17.0,155.59199194012666,212.78629032258064,56.60333333333333,15.666666666666666,3.1537313432835816,4.673333333333333,25.03666666666667,2.3733333333333335
2017,7,26.92258064516129,21.9,35.4,16.0,53.0,224.42152561888312,689.7935483870967,77.1774193548387,26.9,3.1537313432835816,7.887096774193548,27.403225806451612,2.0
2017,8,25.916129032258063,16.1,35.3,13.0,35.5,205.2372884283247,400.19032258064516,70.81935483870969,23.65806451612903,3.1537313432835816,7.048387096774194,26.97741935483871,2.2548387096774194
2017,9,22.103333333333335,11.2,31.4,5.0,9.0,166.1177547495682,215.58306451612904,60.92999999999999,15.986666666666668,3.1537313432835816,4.193333333333333,23.63,1.98
2017,10,16.40967741935484,2.5,29.4,2.5,6.0,174.955636154289,224.28145161290323,56.25806451612903,10.73225806451613,3.1537313432835816,4.52258064516129,18.045332350230414,1.9491428571428573
2017,11,5.626666666666667,-6.6,18.4,2.1259360730593606,4.985844748858447,130.84305123776625,178.28709677419354,53.42666666666666,5.406666666666666,3.1537313432835816,4.15,8.57,2.0766666666666667
2017,12,-1.929032258064516,-12.3,8.7,2.1259360730593606,4.985844748858447,164.62199194012666,180.98629032258066,55.854838709677416,3.2806451612903227,5.1,3.8741935483870966,0.8193548387096775,1.8176405529953916
2018,1,-3.97741935483871,-17.8,8.7,2.1259360730593606,4.985844748858447,157.26881404720783,180.48387096774195,48.03225806451613,2.47741935483871,3.5,4.254838709677419,-0.9387096774193548,1.8709677419354838
2018,2,-1.6464285714285711,-13.4,10.4,2.1259360730593606,4.985844748858447,150.1266954519286,218.78225806451613,44.91428571428571,2.6214285714285714,4.1,3.914285714285714,-1.0285714285714287,2.1785714285714284
2018,3,8.080645161290322,-6.7,22.1,2.1259360730593606,4.985844748858447,208.2077547495682,230.08306451612904,59.20645161290322,6.606451612903226,3.1537313432835816,5.206451612903226,7.487096774193549,1.9193548387096775
2018,4,12.986666666666668,0.1,26.3,2.5,8.5,214.10987334484744,293.68467741935484,54.63,7.97,3.1537313432835816,4.683333333333334,13.266666666666667,2.0033333333333334
2018,5,18.16774193548387,6.9,29.6,13.5,35.0,231.36199194012664,368.18629032258065,63.435483870967744,13.09032258064516,3.1537313432835816,5.448387096774193,19.316129032258065,1.7193548387096773
2018,6,23.136666666666667,16.3,32.9,11.0,22.5,181.35093264248704,326.28548387096777,63.03333333333333,17.303333333333335,3.1537313432835816,5.873333333333333,24.88,1.68
2018,7,27.796774193548387,17.7,38.3,9.5,25.0,212.7677547495682,366.18306451612904,67.45161290322581,24.612903225806452,3.1537313432835816,5.109677419354839,27.664687188940093,1.461290322580645
2018,8,28.761290322580646,20.2,39.6,25.5,43.5,189.42411053540587,331.5879032258065,64.71935483870968,24.91290322580645,3.1537313432835816,5.819354838709677,29.361461382488482,1.6903225806451612
2018,9,21.496666666666666,10.8,30.9,5.5,20.0,173.00093264248704,223.28548387096777,60.66,15.443333333333333,3.1537313432835816,5.113333333333333,23.39,1.5633333333333332
2018,10,13.05483870967742,0.7,25.6,3.0,10.5,170.52881404720782,292.48387096774195,59.34838709677419,8.883870967741935,3.1537313432835816,3.693548387096774,15.432258064516128,1.5451612903225806
2018,11,7.793333333333334,-3.1,19.4,2.1259360730593606,4.985844748858447,174.18775474956823,259.68306451612904,57.48,6.28,8.8,4.04,9.123333333333333,1.3966666666666667
2018,12,-0.6064516129032258,-14.4,13.5,2.1259360730593606,4.985844748858447,183.14351755900978,231.37983870967741,45.75806451612903,3.1258064516129034,3.1537313432835816,3.770967741935484,1.7129032258064516,1.803225806451613
