등록번호,처리상태,관할기관,행정구역,노선,방향,지번주소,도로명주소,파손종류
20230605111418001,보수,남부,동작구,사당~서빙고선,남태령 (사당동산93-2),동작구 사당2동 66-29,서초구 동작대로 200,포트홀
20230605111352001,보수,남부,서초구,이수~청담선,이수교,서초구 반포동 128-1,서초구 신반포로15길 4,포트홀
20230605111329001,보수,남부,금천구,시흥~중림선,서울시상수도 사업본부앞 (중림동406),금천구 독산동 996-9,금천구 시흥대로150길 6,포트홀
20230605110114001,보수,남부,동작구,신림~진관내선,서울대학교 입구 (신림동165),동작구 상도동 513,동작구 상도로 386,포트홀
20230605110047001,보수,남부,금천구,서부간선,금천구 시계,,,포트홀
20230605110026001,보수,남부,금천구,서부간선,금천구 시계,금천구 가산동 371-80,,포트홀
20230605110013001,보수,남부,금천구,서부간선,금천구 시계,금천구 가산동 371-80,,포트홀
20230605105958001,보수,남부,금천구,서부간선,금천구 시계,,,포트홀
20230605105910001,보수,남부,금천구,시흥~중림선,시흥동시계 (시흥동700),금천구 시흥동 1000-26,금천구 시흥대로 265,포트홀
20230605104744001,보수,남부,관악구,시흥~신림선,시흥대교 (시흥동 996),,관악구 호암로 549,포트홀
20230605104700001,보수,남부,금천구,시흥~중림선,서울시상수도 사업본부앞 (중림동406),,금천구 시흥대로 386,포트홀
20230605104623001,보수,남부,금천구,시흥~중림선,서울시상수도 사업본부앞 (중림동406),,금천구 시흥대로 182,포트홀
20230605104553001,보수,남부,금천구,시흥~신림선,시흥대교 (시흥동 996),,금천구 금하로 679,포트홀
20230605104513001,보수,남부,금천구,시흥~중림선,시흥동시계 (시흥동700),금천구 시흥동 1000-71,금천구 시흥대로 225,포트홀
20230605103327001,보수,남부,금천구,독산~등촌선,독산동길 (독산동 178-7),금천구 독산동 148-25,금천구 가산로 69,포트홀
20230605103259001,보수,남부,금천구,오류~대림선,썬프라자백화점 (대림동 909-2),,금천구 벚꽃로 244,포트홀
20230605103211001,보수,남부,서초구,사당~암사선,남성초교 (사당동산24-2),서초구 방배동 876-42,서초구 서초대로 115,포트홀
20230605103153001,보수,남부,서초구,사당~암사선,남성초교 (사당동산24-2),,서초구 서초대로 119,포트홀
20230605103030001,보수,남부,서초구,과해~삼성선,삼성동171-3,서초구 서초동 1413,서초구 사평대로 376-2,포트홀
20230605102709001,보수,남부,서초구,과해~삼성선,삼성동171-3,,서초구 고무래로 35,포트홀
20230605102634001,보수,남부,서초구,,,서초구 반포동 128-1,서초구 신반포로 56-7,포트홀
20230605025697010,보수,강서,영등포구,,,서울 영등포구 양평동3가 76-5,서울특별시 영등포구 선유로 195,포트홀
20230605025691010,보수,남부,관악구,,,서울 관악구 봉천동 976-13,서울특별시 관악구 봉천로 245,포트홀
20230605025646010,보수,북부,성북구,,,서울 성북구 종암동 4-82,서울특별시 성북구 월곡로 56-1,포트홀
20230605025634010,보수,동부,강남구,과해~삼성선,삼성동171-3,서울 강남구 역삼동 800,서울특별시 강남구 언주로 601,포트홀
20230605025625010,보수,서부,서대문구,가양~현저선,독립문 (현저동104),서울 서대문구 신촌동 1-200,,포트홀
20230605025622010,보수,강서,양천구,신월~신당선,한양공고앞 (신당동251),서울 양천구 목동 914-3,,포트홀
20230605025620010,보수,시설관리공단,양천구,,,서울 양천구 신월동 840,서울특별시 양천구 국회대로 16,포트홀
20230604900057010,보수,서부,은평구,가양~현저선,독립문 (현저동104),서울 은평구 수색동 397-5,서울특별시 은평구 수색로 328,포트홀
20230604900029010,보수,북부,종로구,,,서울 종로구 세종로 76-4,서울특별시 종로구 종로1길 55-1,포트홀
20230604900012010,보수,동부,강남구,이수~청담선,청담가로공원 (청담동135-10),서울 강남구 삼성동 111-44,서울특별시 강남구 학동로 지하 346,포트홀
20230604025579010,보수,서부,서대문구,,,서울 서대문구 홍제동 266-271,서울특별시 서대문구 통일로 484,포트홀
20230604025547010,보수,시설관리공단,동작구,올림픽대로,강동구 시계 (하일I.C),서울 동작구 본동 477,,포트홀
20230604025539010,보수,강서,영등포구,과해~삼성선,김포공항 정문 (과해동624-10),서울 영등포구 양평동 189-8,,포트홀
20230604025513010,보수,시설관리공단,영등포구,올림픽대로,행주대교 남단 (개화I.C),서울 영등포구 양화동 1-43,,포트홀
20230604025502010,보수,남부,금천구,,,서울 금천구 시흥동 산 100-1,,포트홀
20230604025491010,보수,강서,영등포구,,,서울 영등포구 영등포동7가 94-4,서울특별시 영등포구 버드나루로12길 8,포트홀
20230604025490010,보수,동부,송파구,사당~암사선,남성초교 (사당동산24-2),서울 송파구 풍납동 463,,포트홀
20230604025489010,보수,동부,송파구,사당~암사선,남성초교 (사당동산24-2),서울 송파구 풍납동 463,서울특별시 송파구 올림픽로 474,포트홀
20230604025484010,보수,북부,성북구,북부간선,하월곡로타리 (하월곡동37-105),서울 성북구 하월곡동 37-4,서울특별시 성북구 화랑로 88-1,포트홀
20230603900077010,보수,동부,강남구,,,서울 강남구 청담동 77-4,서울특별시 강남구 압구정로79길 72,포트홀
20230603900046010,보수,동부,강동구,,,서울 강동구 고덕동 198-6,서울특별시 강동구 상일로 135,포트홀
20230603025463010,보수,시설관리공단,영등포구,,,서울 영등포구 당산동 121-6,서울특별시 영등포구 당산로54길 41,포트홀
20230603025456010,보수,시설관리공단,성동구,내부순환도시고속도로,마포구 성산동,서울 성동구 성수동1가 2-6,,포트홀
20230603025455010,보수,시설관리공단,성동구,,,서울 성동구 성수동1가 2-2,,포트홀
20230603025439010,보수,시설관리공단,마포구,,,서울 마포구 상암동 487-311,,포트홀
20230603025401010,보수,시설관리공단,마포구,내부순환도시고속도로,마포구 성산동,서울 마포구 용강동 496-10,서울특별시 마포구 대흥로2길 41,포트홀
20230602900101010,보수,동부,강동구,방화~사가정선,면목동 (면목동 524-33),서울 강동구 둔촌동 540-4,서울특별시 강동구 양재대로 1335,포트홀
20230602900072010,보수,동부,강동구,,,서울 강동구 고덕동 299,서울특별시 강동구 고덕로 333,포트홀
20230602900069010,보수,동부,강동구,,,서울 강동구 고덕동 299,서울특별시 강동구 고덕로 333,포트홀
20230602084927001,보수,강서,영등포구,,,,구로구 구로중앙로42길 67,포트홀
20230602084836001,보수,강서,구로구,,,구로구 구로동 621-9,구로구 안양천동자전거길 701,포트홀
20230602084824001,보수,강서,영등포구,올림픽대로,강동구 시계 (하일I.C),,,포트홀
20230602084817001,보수,강서,구로구,서부간선,사천교로타리 (연희동446-13),,구로구 안양천동자전거길 701,포트홀
